"County","FIPS","Year","Race/Ethnicity","Age","Poverty Status","Measure Type","Variable","Value"
"Fairfield County","09001","2013-2017","White Alone","Under 18","Below Poverty Level","Percent","Margins of Error",0.51
"Fairfield County","09001","2013-2017","White Alone","Under 18","Poverty Status Determined","Number","Poverty Status",147800
"Fairfield County","09001","2013-2017","White Alone","Under 18","Poverty Status Determined","Number","Margins of Error",1943.06
"Fairfield County","09001","2013-2017","White Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",21.61
"Fairfield County","09001","2013-2017","White Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.27
"Fairfield County","09001","2013-2017","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Number","Poverty Status",26842
"Fairfield County","09001","2013-2017","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Number","Margins of Error",1549
"Fairfield County","09001","2013-2017","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Percent","Poverty Status",4.6
"Fairfield County","09001","2013-2017","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Percent","Margins of Error",0.27
"Fairfield County","09001","2013-2017","White Alone Not Hispanic or Latino","Total","Poverty Status Determined","Number","Poverty Status",584074
"Fairfield County","09001","2013-2017","White Alone Not Hispanic or Latino","Total","Poverty Status Determined","Number","Margins of Error",1264
"Fairfield County","09001","2013-2017","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Number","Poverty Status",4419
"Fairfield County","09001","2013-2017","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Number","Margins of Error",461.89
"Fairfield County","09001","2013-2017","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Percent","Poverty Status",3.69
"Fairfield County","09001","2013-2017","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Percent","Margins of Error",0.38
"Fairfield County","09001","2013-2017","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Number","Poverty Status",119668
"Fairfield County","09001","2013-2017","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Number","Margins of Error",1537.51
"Fairfield County","09001","2013-2017","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Poverty Status",20.49
"Fairfield County","09001","2013-2017","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Margins of Error",0.26
"Hartford County","09003","2013-2017","All","Total","Below Poverty Level","Number","Poverty Status",97996
"Hartford County","09003","2013-2017","All","Total","Below Poverty Level","Number","Margins of Error",3295
"Hartford County","09003","2013-2017","All","Total","Below Poverty Level","Percent","Poverty Status",11.21
"Hartford County","09003","2013-2017","All","Total","Below Poverty Level","Percent","Margins of Error",0.38
"Hartford County","09003","2013-2017","All","Total","Poverty Status Determined","Number","Poverty Status",874029
"Hartford County","09003","2013-2017","All","Total","Poverty Status Determined","Number","Margins of Error",869
"Hartford County","09003","2013-2017","All","Under 18","Below Poverty Level","Number","Poverty Status",29600
"Hartford County","09003","2013-2017","All","Under 18","Below Poverty Level","Number","Margins of Error",1200.74
"Hartford County","09003","2013-2017","All","Under 18","Below Poverty Level","Percent","Poverty Status",15.6
"Hartford County","09003","2013-2017","All","Under 18","Below Poverty Level","Percent","Margins of Error",0.6
"Hartford County","09003","2013-2017","All","Under 18","Poverty Status Determined","Number","Poverty Status",189722
"Hartford County","09003","2013-2017","All","Under 18","Poverty Status Determined","Number","Margins of Error",2266.35
"Hartford County","09003","2013-2017","All","Under 18","Poverty Status Determined","Percent","Poverty Status",21.71
"Hartford County","09003","2013-2017","All","Under 18","Poverty Status Determined","Percent","Margins of Error",0.26
"Hartford County","09003","2013-2017","American Indian and Alaska Native Alone","Total","Below Poverty Level","Number","Poverty Status",475
"Hartford County","09003","2013-2017","American Indian and Alaska Native Alone","Total","Below Poverty Level","Number","Margins of Error",232
"Hartford County","09003","2013-2017","American Indian and Alaska Native Alone","Total","Below Poverty Level","Percent","Poverty Status",20.13
"Hartford County","09003","2013-2017","American Indian and Alaska Native Alone","Total","Below Poverty Level","Percent","Margins of Error",8.67
"Hartford County","09003","2013-2017","American Indian and Alaska Native Alone","Total","Poverty Status Determined","Number","Poverty Status",2360
"Hartford County","09003","2013-2017","American Indian and Alaska Native Alone","Total","Poverty Status Determined","Number","Margins of Error",543
"Hartford County","09003","2013-2017","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Number","Poverty Status",169
"Hartford County","09003","2013-2017","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Number","Margins of Error",119.95
"Hartford County","09003","2013-2017","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Percent","Poverty Status",18.59
"Hartford County","09003","2013-2017","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Percent","Margins of Error",14.52
"Hartford County","09003","2013-2017","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Number","Poverty Status",909
"Hartford County","09003","2013-2017","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Number","Margins of Error",296.41
"Hartford County","09003","2013-2017","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",38.52
"Hartford County","09003","2013-2017","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",8.9
"Hartford County","09003","2013-2017","Asian Alone","Total","Below Poverty Level","Number","Poverty Status",3405
"Hartford County","09003","2013-2017","Asian Alone","Total","Below Poverty Level","Number","Margins of Error",715
"Hartford County","09003","2013-2017","Asian Alone","Total","Below Poverty Level","Percent","Poverty Status",7.52
"Hartford County","09003","2013-2017","Asian Alone","Total","Below Poverty Level","Percent","Margins of Error",1.57
"Hartford County","09003","2013-2017","Asian Alone","Total","Poverty Status Determined","Number","Poverty Status",45255
"Hartford County","09003","2013-2017","Asian Alone","Total","Poverty Status Determined","Number","Margins of Error",848
"Hartford County","09003","2013-2017","Asian Alone","Under 18","Below Poverty Level","Number","Poverty Status",833
"Hartford County","09003","2013-2017","Asian Alone","Under 18","Below Poverty Level","Number","Margins of Error",188.46
"Hartford County","09003","2013-2017","Asian Alone","Under 18","Below Poverty Level","Percent","Poverty Status",7.69
"Hartford County","09003","2013-2017","Asian Alone","Under 18","Below Poverty Level","Percent","Margins of Error",1.7
"Hartford County","09003","2013-2017","Asian Alone","Under 18","Poverty Status Determined","Number","Poverty Status",10834
"Hartford County","09003","2013-2017","Asian Alone","Under 18","Poverty Status Determined","Number","Margins of Error",504.96
"Hartford County","09003","2013-2017","Asian Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",23.94
"Hartford County","09003","2013-2017","Asian Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",1.02
"Hartford County","09003","2013-2017","Black or African American Alone","Total","Below Poverty Level","Number","Poverty Status",20430
"Hartford County","09003","2013-2017","Black or African American Alone","Total","Below Poverty Level","Number","Margins of Error",1624
"Hartford County","09003","2013-2017","Black or African American Alone","Total","Below Poverty Level","Percent","Poverty Status",17.57
"Hartford County","09003","2013-2017","Black or African American Alone","Total","Below Poverty Level","Percent","Margins of Error",1.38
"Hartford County","09003","2013-2017","Black or African American Alone","Total","Poverty Status Determined","Number","Poverty Status",116297
"Hartford County","09003","2013-2017","Black or African American Alone","Total","Poverty Status Determined","Number","Margins of Error",1420
"Hartford County","09003","2013-2017","Black or African American Alone","Under 18","Below Poverty Level","Number","Poverty Status",7279
"Hartford County","09003","2013-2017","Black or African American Alone","Under 18","Below Poverty Level","Number","Margins of Error",654.34
"Hartford County","09003","2013-2017","Black or African American Alone","Under 18","Below Poverty Level","Percent","Poverty Status",24.49
"Hartford County","09003","2013-2017","Black or African American Alone","Under 18","Below Poverty Level","Percent","Margins of Error",2
"Hartford County","09003","2013-2017","Black or African American Alone","Under 18","Poverty Status Determined","Number","Poverty Status",29722
"Hartford County","09003","2013-2017","Black or African American Alone","Under 18","Poverty Status Determined","Number","Margins of Error",1119.14
"Hartford County","09003","2013-2017","Black or African American Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",25.56
"Hartford County","09003","2013-2017","Black or African American Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.91
"Hartford County","09003","2013-2017","Hispanic or Latino","Total","Below Poverty Level","Number","Poverty Status",42003
"Hartford County","09003","2013-2017","Hispanic or Latino","Total","Below Poverty Level","Number","Margins of Error",1984
"Hartford County","09003","2013-2017","Hispanic or Latino","Total","Below Poverty Level","Percent","Poverty Status",27.75
"Hartford County","09003","2013-2017","Hispanic or Latino","Total","Below Poverty Level","Percent","Margins of Error",1.31
"Hartford County","09003","2013-2017","Hispanic or Latino","Total","Poverty Status Determined","Number","Poverty Status",151335
"Hartford County","09003","2013-2017","Hispanic or Latino","Total","Poverty Status Determined","Number","Margins of Error",353
"Hartford County","09003","2013-2017","Hispanic or Latino","Under 18","Below Poverty Level","Number","Poverty Status",16751
"Hartford County","09003","2013-2017","Hispanic or Latino","Under 18","Below Poverty Level","Number","Margins of Error",894.49
"Hartford County","09003","2013-2017","Hispanic or Latino","Under 18","Below Poverty Level","Percent","Poverty Status",34.32
"Hartford County","09003","2013-2017","Hispanic or Latino","Under 18","Below Poverty Level","Percent","Margins of Error",1.55
"Hartford County","09003","2013-2017","Hispanic or Latino","Under 18","Poverty Status Determined","Number","Poverty Status",48809
"Hartford County","09003","2013-2017","Hispanic or Latino","Under 18","Poverty Status Determined","Number","Margins of Error",1398.38
"Hartford County","09003","2013-2017","Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Poverty Status",32.25
"Hartford County","09003","2013-2017","Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Margins of Error",0.92
"Hartford County","09003","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Number","Poverty Status",136
"Hartford County","09003","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Number","Margins of Error",118
"Hartford County","09003","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Percent","Poverty Status",50.56
"Hartford County","09003","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Percent","Margins of Error",50.77
"Hartford County","09003","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Poverty Status Determined","Number","Poverty Status",269
"Hartford County","09003","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Poverty Status Determined","Number","Margins of Error",136
"Hartford County","09003","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Number","Poverty Status",19
"Hartford County","09003","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Number","Margins of Error",99.6
"Hartford County","09003","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Percent","Poverty Status",100
"Hartford County","09003","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Percent","Margins of Error",900.11
"Hartford County","09003","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Number","Poverty Status",19
"Hartford County","09003","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Number","Margins of Error",139.03
"Hartford County","09003","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Percent","Poverty Status",7.06
"Hartford County","09003","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Percent","Margins of Error",51.81
"Hartford County","09003","2013-2017","Some Other Race Alone","Total","Below Poverty Level","Number","Poverty Status",15264
"Hartford County","09003","2013-2017","Some Other Race Alone","Total","Below Poverty Level","Number","Margins of Error",1555
"Hartford County","09003","2013-2017","Some Other Race Alone","Total","Below Poverty Level","Percent","Poverty Status",30.26
"Hartford County","09003","2013-2017","Some Other Race Alone","Total","Below Poverty Level","Percent","Margins of Error",2.69
"Hartford County","09003","2013-2017","Some Other Race Alone","Total","Poverty Status Determined","Number","Poverty Status",50435
"Hartford County","09003","2013-2017","Some Other Race Alone","Total","Poverty Status Determined","Number","Margins of Error",2512
"Hartford County","09003","2013-2017","Some Other Race Alone","Under 18","Below Poverty Level","Number","Poverty Status",5380
"Hartford County","09003","2013-2017","Some Other Race Alone","Under 18","Below Poverty Level","Number","Margins of Error",587.38
"Hartford County","09003","2013-2017","Some Other Race Alone","Under 18","Below Poverty Level","Percent","Poverty Status",38.13
"Hartford County","09003","2013-2017","Some Other Race Alone","Under 18","Below Poverty Level","Percent","Margins of Error",3.28
"Hartford County","09003","2013-2017","Some Other Race Alone","Under 18","Poverty Status Determined","Number","Poverty Status",14109
"Hartford County","09003","2013-2017","Some Other Race Alone","Under 18","Poverty Status Determined","Number","Margins of Error",947.21
"Hartford County","09003","2013-2017","Some Other Race Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",27.97
"Hartford County","09003","2013-2017","Some Other Race Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",1.26
"Hartford County","09003","2013-2017","Two or More Races","Total","Below Poverty Level","Number","Poverty Status",6082
"Hartford County","09003","2013-2017","Two or More Races","Total","Below Poverty Level","Number","Margins of Error",1013
"Hartford County","09003","2013-2017","Two or More Races","Total","Below Poverty Level","Percent","Poverty Status",20.71
"Hartford County","09003","2013-2017","Two or More Races","Total","Below Poverty Level","Percent","Margins of Error",3.24
"Hartford County","09003","2013-2017","Two or More Races","Total","Poverty Status Determined","Number","Poverty Status",29369
"Hartford County","09003","2013-2017","Two or More Races","Total","Poverty Status Determined","Number","Margins of Error",1696
"Hartford County","09003","2013-2017","Two or More Races","Under 18","Below Poverty Level","Number","Poverty Status",2859
"Hartford County","09003","2013-2017","Two or More Races","Under 18","Below Poverty Level","Number","Margins of Error",445.19
"Hartford County","09003","2013-2017","Two or More Races","Under 18","Below Poverty Level","Percent","Poverty Status",19.85
"Hartford County","09003","2013-2017","Two or More Races","Under 18","Below Poverty Level","Percent","Margins of Error",2.83
"Hartford County","09003","2013-2017","Two or More Races","Under 18","Poverty Status Determined","Number","Poverty Status",14400
"Hartford County","09003","2013-2017","Two or More Races","Under 18","Poverty Status Determined","Number","Margins of Error",905.25
"Hartford County","09003","2013-2017","Two or More Races","Under 18","Poverty Status Determined","Percent","Poverty Status",49.03
"Hartford County","09003","2013-2017","Two or More Races","Under 18","Poverty Status Determined","Percent","Margins of Error",1.22
"Hartford County","09003","2013-2017","White Alone","Total","Below Poverty Level","Number","Poverty Status",52204
"Hartford County","09003","2013-2017","White Alone","Total","Below Poverty Level","Number","Margins of Error",2885
"Hartford County","09003","2013-2017","White Alone","Total","Below Poverty Level","Percent","Poverty Status",8.29
"Hartford County","09003","2013-2017","White Alone","Total","Below Poverty Level","Percent","Margins of Error",0.46
"Hartford County","09003","2013-2017","White Alone","Total","Poverty Status Determined","Number","Poverty Status",630044
"Hartford County","09003","2013-2017","White Alone","Total","Poverty Status Determined","Number","Margins of Error",2569
"Hartford County","09003","2013-2017","White Alone","Under 18","Below Poverty Level","Number","Poverty Status",13061
"Hartford County","09003","2013-2017","White Alone","Under 18","Below Poverty Level","Number","Margins of Error",855.97
"Hartford County","09003","2013-2017","White Alone","Under 18","Below Poverty Level","Percent","Poverty Status",10.91
"Hartford County","09003","2013-2017","White Alone","Under 18","Below Poverty Level","Percent","Margins of Error",0.7
"Hartford County","09003","2013-2017","White Alone","Under 18","Poverty Status Determined","Number","Poverty Status",119729
"Hartford County","09003","2013-2017","White Alone","Under 18","Poverty Status Determined","Number","Margins of Error",1750.05
"Hartford County","09003","2013-2017","White Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",19
"Hartford County","09003","2013-2017","White Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.27
"Hartford County","09003","2013-2017","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Number","Poverty Status",30642
"Hartford County","09003","2013-2017","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Number","Margins of Error",1800
"Hartford County","09003","2013-2017","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Percent","Poverty Status",5.6
"Hartford County","09003","2013-2017","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Percent","Margins of Error",0.33
"Hartford County","09003","2013-2017","White Alone Not Hispanic or Latino","Total","Poverty Status Determined","Number","Poverty Status",547643
"Hartford County","09003","2013-2017","White Alone Not Hispanic or Latino","Total","Poverty Status Determined","Number","Margins of Error",680
"Hartford County","09003","2013-2017","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Number","Poverty Status",4294
"Hartford County","09003","2013-2017","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Number","Margins of Error",480.8
"Hartford County","09003","2013-2017","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Percent","Poverty Status",4.56
"Hartford County","09003","2013-2017","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Percent","Margins of Error",0.51
"Hartford County","09003","2013-2017","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Number","Poverty Status",94066
"Hartford County","09003","2013-2017","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Number","Margins of Error",1357.79
"Hartford County","09003","2013-2017","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Poverty Status",17.18
"Hartford County","09003","2013-2017","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Margins of Error",0.25
"Litchfield County","09005","2013-2017","All","Total","Below Poverty Level","Number","Poverty Status",12400
"Litchfield County","09005","2013-2017","All","Total","Below Poverty Level","Number","Margins of Error",1095
"Litchfield County","09005","2013-2017","All","Total","Below Poverty Level","Percent","Poverty Status",6.8
"Litchfield County","09005","2013-2017","All","Total","Below Poverty Level","Percent","Margins of Error",0.6
"Litchfield County","09005","2013-2017","All","Total","Poverty Status Determined","Number","Poverty Status",182316
"Litchfield County","09005","2013-2017","All","Total","Poverty Status Determined","Number","Margins of Error",347
"Litchfield County","09005","2013-2017","All","Under 18","Below Poverty Level","Number","Poverty Status",2527
"Litchfield County","09005","2013-2017","All","Under 18","Below Poverty Level","Number","Margins of Error",357.18
"Litchfield County","09005","2013-2017","All","Under 18","Below Poverty Level","Percent","Poverty Status",7.31
"Litchfield County","09005","2013-2017","All","Under 18","Below Poverty Level","Percent","Margins of Error",1.02
"Litchfield County","09005","2013-2017","All","Under 18","Poverty Status Determined","Number","Poverty Status",34552
"Litchfield County","09005","2013-2017","All","Under 18","Poverty Status Determined","Number","Margins of Error",918.91
"Litchfield County","09005","2013-2017","All","Under 18","Poverty Status Determined","Percent","Poverty Status",18.95
"Litchfield County","09005","2013-2017","All","Under 18","Poverty Status Determined","Percent","Margins of Error",0.5
"Litchfield County","09005","2013-2017","American Indian and Alaska Native Alone","Total","Below Poverty Level","Number","Poverty Status",43
"Litchfield County","09005","2013-2017","American Indian and Alaska Native Alone","Total","Below Poverty Level","Number","Margins of Error",58
"Litchfield County","09005","2013-2017","American Indian and Alaska Native Alone","Total","Below Poverty Level","Percent","Poverty Status",13.11
"Litchfield County","09005","2013-2017","American Indian and Alaska Native Alone","Total","Below Poverty Level","Percent","Margins of Error",16.83
"Litchfield County","09005","2013-2017","American Indian and Alaska Native Alone","Total","Poverty Status Determined","Number","Poverty Status",328
"Litchfield County","09005","2013-2017","American Indian and Alaska Native Alone","Total","Poverty Status Determined","Number","Margins of Error",136
"Litchfield County","09005","2013-2017","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Number","Poverty Status",0
"Litchfield County","09005","2013-2017","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Number","Margins of Error",96.99
"Litchfield County","09005","2013-2017","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Percent","Poverty Status",0
"Litchfield County","09005","2013-2017","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Percent","Margins of Error",131.07
"Litchfield County","09005","2013-2017","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Number","Poverty Status",74
"Litchfield County","09005","2013-2017","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Number","Margins of Error",155.28
"Litchfield County","09005","2013-2017","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",22.56
"Litchfield County","09005","2013-2017","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",46.41
"Litchfield County","09005","2013-2017","Asian Alone","Total","Below Poverty Level","Number","Poverty Status",166
"Litchfield County","09005","2013-2017","Asian Alone","Total","Below Poverty Level","Number","Margins of Error",96
"Litchfield County","09005","2013-2017","Asian Alone","Total","Below Poverty Level","Percent","Poverty Status",4.77
"Litchfield County","09005","2013-2017","Asian Alone","Total","Below Poverty Level","Percent","Margins of Error",2.74
"Litchfield County","09005","2013-2017","Asian Alone","Total","Poverty Status Determined","Number","Poverty Status",3477
"Litchfield County","09005","2013-2017","Asian Alone","Total","Poverty Status Determined","Number","Margins of Error",219
"Litchfield County","09005","2013-2017","Asian Alone","Under 18","Below Poverty Level","Number","Poverty Status",21
"Litchfield County","09005","2013-2017","Asian Alone","Under 18","Below Poverty Level","Number","Margins of Error",98.22
"Litchfield County","09005","2013-2017","Asian Alone","Under 18","Below Poverty Level","Percent","Poverty Status",2.22
"Litchfield County","09005","2013-2017","Asian Alone","Under 18","Below Poverty Level","Percent","Margins of Error",10.38
"Litchfield County","09005","2013-2017","Asian Alone","Under 18","Poverty Status Determined","Number","Poverty Status",945
"Litchfield County","09005","2013-2017","Asian Alone","Under 18","Poverty Status Determined","Number","Margins of Error",205
"Litchfield County","09005","2013-2017","Asian Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",27.18
"Litchfield County","09005","2013-2017","Asian Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",5.64
"Litchfield County","09005","2013-2017","Black or African American Alone","Total","Below Poverty Level","Number","Poverty Status",521
"Litchfield County","09005","2013-2017","Black or African American Alone","Total","Below Poverty Level","Number","Margins of Error",213
"Litchfield County","09005","2013-2017","Black or African American Alone","Total","Below Poverty Level","Percent","Poverty Status",15.11
"Litchfield County","09005","2013-2017","Black or African American Alone","Total","Below Poverty Level","Percent","Margins of Error",5.94
"Litchfield County","09005","2013-2017","Black or African American Alone","Total","Poverty Status Determined","Number","Poverty Status",3448
"Litchfield County","09005","2013-2017","Black or African American Alone","Total","Poverty Status Determined","Number","Margins of Error",390
"Litchfield County","09005","2013-2017","Black or African American Alone","Under 18","Below Poverty Level","Number","Poverty Status",174
"Litchfield County","09005","2013-2017","Black or African American Alone","Under 18","Below Poverty Level","Number","Margins of Error",115.26
"Litchfield County","09005","2013-2017","Black or African American Alone","Under 18","Below Poverty Level","Percent","Poverty Status",22.48
"Litchfield County","09005","2013-2017","Black or African American Alone","Under 18","Below Poverty Level","Percent","Margins of Error",13.64
"Litchfield County","09005","2013-2017","Black or African American Alone","Under 18","Poverty Status Determined","Number","Poverty Status",774
"Litchfield County","09005","2013-2017","Black or African American Alone","Under 18","Poverty Status Determined","Number","Margins of Error",205.41
"Litchfield County","09005","2013-2017","Black or African American Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",22.45
"Litchfield County","09005","2013-2017","Black or African American Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",5.39
"Litchfield County","09005","2013-2017","Hispanic or Latino","Total","Below Poverty Level","Number","Poverty Status",1700
"Litchfield County","09005","2013-2017","Hispanic or Latino","Total","Below Poverty Level","Number","Margins of Error",451
"Litchfield County","09005","2013-2017","Hispanic or Latino","Total","Below Poverty Level","Percent","Poverty Status",16.51
"Litchfield County","09005","2013-2017","Hispanic or Latino","Total","Below Poverty Level","Percent","Margins of Error",4.38
"Litchfield County","09005","2013-2017","Hispanic or Latino","Total","Poverty Status Determined","Number","Poverty Status",10296
"Litchfield County","09005","2013-2017","Hispanic or Latino","Total","Poverty Status Determined","Number","Margins of Error",95
"Litchfield County","09005","2013-2017","Hispanic or Latino","Under 18","Below Poverty Level","Number","Poverty Status",694
"Litchfield County","09005","2013-2017","Hispanic or Latino","Under 18","Below Poverty Level","Number","Margins of Error",205.93
"Litchfield County","09005","2013-2017","Hispanic or Latino","Under 18","Below Poverty Level","Percent","Poverty Status",20.44
"Litchfield County","09005","2013-2017","Hispanic or Latino","Under 18","Below Poverty Level","Percent","Margins of Error",5.72
"Litchfield County","09005","2013-2017","Hispanic or Latino","Under 18","Poverty Status Determined","Number","Poverty Status",3396
"Litchfield County","09005","2013-2017","Hispanic or Latino","Under 18","Poverty Status Determined","Number","Margins of Error",334.7
"Litchfield County","09005","2013-2017","Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Poverty Status",32.98
"Litchfield County","09005","2013-2017","Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Margins of Error",3.24
"Litchfield County","09005","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Number","Poverty Status",0
"Litchfield County","09005","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Number","Margins of Error",28
"Litchfield County","09005","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Percent","Poverty Status",0
"Litchfield County","09005","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Percent","Margins of Error",466.67
"Litchfield County","09005","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Poverty Status Determined","Number","Poverty Status",6
"Litchfield County","09005","2013-2017","Native Hawaiian and Other Pacific Islander","Total","Poverty Status Determined","Number","Margins of Error",9
"Litchfield County","09005","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Number","Poverty Status",0
"Litchfield County","09005","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Number","Margins of Error",96.99
"Litchfield County","09005","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Percent","Poverty Status",-9999
"Litchfield County","09005","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Percent","Margins of Error",-9999
"Litchfield County","09005","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Number","Poverty Status",0
"Litchfield County","09005","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Number","Margins of Error",137.17
"Litchfield County","09005","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Percent","Poverty Status",0
"Litchfield County","09005","2013-2017","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Percent","Margins of Error",2286.19
"Litchfield County","09005","2013-2017","Some Other Race Alone","Total","Below Poverty Level","Number","Poverty Status",636
"Litchfield County","09005","2013-2017","Some Other Race Alone","Total","Below Poverty Level","Number","Margins of Error",326
"Litchfield County","09005","2013-2017","Some Other Race Alone","Total","Below Poverty Level","Percent","Poverty Status",26.29
"Litchfield County","09005","2013-2017","Some Other Race Alone","Total","Below Poverty Level","Percent","Margins of Error",12.51
"Litchfield County","09005","2013-2017","Some Other Race Alone","Total","Poverty Status Determined","Number","Poverty Status",2419
"Litchfield County","09005","2013-2017","Some Other Race Alone","Total","Poverty Status Determined","Number","Margins of Error",460
"Litchfield County","09005","2013-2017","Some Other Race Alone","Under 18","Below Poverty Level","Number","Poverty Status",257
"Litchfield County","09005","2013-2017","Some Other Race Alone","Under 18","Below Poverty Level","Number","Margins of Error",185.63
"Litchfield County","09005","2013-2017","Some Other Race Alone","Under 18","Below Poverty Level","Percent","Poverty Status",31.69
"Litchfield County","09005","2013-2017","Some Other Race Alone","Under 18","Below Poverty Level","Percent","Margins of Error",20.48
"Litchfield County","09005","2013-2017","Some Other Race Alone","Under 18","Poverty Status Determined","Number","Poverty Status",811
"Litchfield County","09005","2013-2017","Some Other Race Alone","Under 18","Poverty Status Determined","Number","Margins of Error",261.64
"Litchfield County","09005","2013-2017","Some Other Race Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",33.53
"Litchfield County","09005","2013-2017","Some Other Race Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",8.74
